Dootrip,Departure,Capacity,In transit,Transported,Status,Load,Origin,Destination,Arrival,Dootrippers,Additional info
Dootrip #000000993 - from Waldbrunn (Germany) to Bamti Bhandar / Ramechap (Nepal),2019-02-22T08:30:00,2,0,2,Completed,Full,Germany,Nepal,2019-02-23T08:30:00, Rhein-Ruhr-Hub,J. Schaut via Hr. Greß
Dootrip #000000991 - from Koblenz (Germany) to Adakpamé Lome (Togo),2019-07-01T06:45:00,5,0,5,Completed,Full,Germany,Togo,2019-07-31T06:45:00, Rhein-Ruhr-Hub jprisab mc,Marcel A.
"Dootrip #000000994 - from Zürich (Switzerland) to Tanger,  (Morocco)",2019-01-27T08:00:00,5,0,0,Pending,Not full,Switzerland,Morocco,2019-02-28T20:00:00, Project Ellie,Thomas Studer / Sylvia Diez
Dootrip #000000995 - from Gelnhausen (Germany) to Likoma Island (Malawi),2019-02-15T08:30:00,15,0,15,Completed,Full,Germany,Malawi,2019-02-28T08:30:00, Rhein-Ruhr-Hub,Friedemann Sch. via Frederik Bachmann
Dootrip #000000996 - from Murrhardt (Germany) to Freetown (Liberia),2019-02-04T12:15:00,3,0,3,Completed,Full,Germany,Liberia,2019-02-06T12:15:00, Rhein-Ruhr-Hub,Petra S.
"Dootrip #000000997 - from  Sant Just Desvern,  (Spain) to Choloma (Honduras)",2019-02-15T15:00:00,60,0,5,Pending,Not full,Spain,Honduras,2019-03-10T16:45:00, miluroura,
Dootrip #000000998 - from Kassel (Germany) to Jirapa (Ghana),2019-02-10T08:00:00,2,0,2,Completed,Full,Germany,Ghana,2019-02-10T19:00:00,Niklas246,
Dootrip #000000999 - from Oberhausen (Germany) to Nsawam (Ghana),2019-02-28T16:30:00,28,0,28,Completed,Full,Germany,Ghana,2019-05-31T16:30:00, Rhein-Ruhr-Hub,Container Ghana Cargo / Hr. Hossou
Dootrip #000001000 - from Essen (Germany) to Kabale (Germany),2019-02-15T16:45:00,2,0,2,Completed,Full,Germany,Germany,2019-02-16T16:45:00, Rhein-Ruhr-Hub,Adrian K. via Patrick Ehrler
Dootrip #000001001 - from Köln (Germany) to Kabale (Uganda),2019-02-15T08:30:00,3,0,3,Completed,Full,Germany,Uganda,2019-02-16T08:30:00, Rhein-Ruhr-Hub,Patrick Z. via Patrick Ehrler
Dootrip #000001002 - from Vreden (Germany) to Varanasi (India),2019-04-12T16:15:00,4,0,4,Completed,Full,Germany,India,2019-04-13T16:15:00, Rhein-Ruhr-Hub,Andreas N.
Dootrip #000001003 - from München (Germany) to Yaoundé (Cameroon),2019-03-01T07:00:00,2,0,2,Completed,Full,Germany,Cameroon,2019-03-02T07:00:00, Rhein-Ruhr-Hub,Tatiana N.
Dootrip #000001004 - from Girona  (Spain) to Dakar (Senegal),2019-02-16T12:45:00,2,0,2,Completed,Full,Spain,Senegal,2019-02-16T12:45:00, Associació Riu Senegal,Additional info
Dootrip #000001005 - from Bremen (Germany) to Swakopmund (Namibia),2019-03-30T20:00:00,2,0,0,Cancelled,Not full,Germany,Namibia,2019-04-01T14:00:00, Bremen-Hub,"Frank, Hub Bremen"
Dootrip #000001006 - from Stetten (Germany) to Kololi  (Gambia),2019-03-08T08:30:00,15,0,15,Completed,Full,Germany,Gambia,2019-06-30T08:30:00, Rhein-Ruhr-Hub,Container via Hr. Schindler
Dootrip #000001007 - from Paris (France) to Lowanatom (Vanuatu),2019-05-01T06:00:00,7,0,6,Completed,Not full,France,Vanuatu,2019-05-01T20:30:00, dominik.ramik,Will be done by br. Robert
Dootrip #000001008 - from Hamburg (Germany) to Entebbe (Uganda),2019-07-05T08:45:00,3,0,3,Completed,Full,Germany,Uganda,2019-07-06T08:45:00, rotehanna,
Dootrip #000001009 - from Barcelona (Spain) to Tindouf (Algeria),2019-04-12T12:00:00,10,0,5,Completed,Not full,Spain,Algeria,2019-04-13T00:00:00, gerardduenas,
Dootrip #000001010 - from Mettlach-Orscholz (Germany) to Cape Town (South Africa),2019-02-10T08:30:00,3,0,3,Completed,Full,Germany,South Africa,2019-02-11T08:30:00, Rhein-Ruhr-Hub,Nico K.
Dootrip #000001011 - from Hofgeismar (Germany) to Addis Ababa (Ethiopia),2019-03-05T08:30:00,2,0,2,Completed,Full,Germany,Ethiopia,2019-03-06T08:30:00, Rhein-Ruhr-Hub,"Hanna R, PROJECT-E"
Dootrip #000001012 - from Stuttgart (Germany) to Kabale (Uganda),2019-02-15T08:30:00,1,0,1,Completed,Full,Germany,Uganda,2019-02-16T08:30:00, Rhein-Ruhr-Hub,Milena St. via Patrick Ehrler
Dootrip #000001013 - from Horn-Bad Meinberg (Germany) to Kabale (Uganda),2019-02-15T08:30:00,2,0,2,Completed,Full,Germany,Uganda,2019-02-16T08:30:00, Rhein-Ruhr-Hub,Dominik M. via Patrick Ehrler
Dootrip #000001014 - from Wuppertal (Germany) to Nairobi (Kenya),2019-03-01T13:00:00,4,0,4,Completed,Full,Germany,Kenya,2019-03-02T13:00:00, Rhein-Ruhr-Hub tobiz,Barbara G.
Dootrip #000001015 - from Stade (Germany) to Bushiyi (Uganda),2019-02-28T08:00:00,1,0,2,Completed,Full,Germany,Uganda,2019-02-28T23:45:00, rotehanna,Vertreter des Freundeskreises Christliche Sozialarbeit in Uganda
Dootrip #000001016 - from Bonn (Germany) to Ondo (Nigeria),2019-03-20T08:30:00,13,0,13,Completed,Full,Germany,Nigeria,2019-03-21T08:30:00, Rhein-Ruhr-Hub reuli,Fam. via Neville
Dootrip #000001017 - from BARCELONE (Spain) to PARIS (France),2019-02-05T15:00:00,2,0,2,Completed,Full,Spain,France,2019-02-05T17:00:00, Fabienne Hourquet,
Dootrip #000001018 - from Oberhausen (Germany) to Mamponteng Kumasi (Ghana),2019-08-31T16:15:00,30,0,30,Completed,Full,Germany,Ghana,2019-09-30T16:15:00, Rhein-Ruhr-Hub,Container via Ghana Cargo
Dootrip #000001019 - from Freiburg (Germany) to Katmandu (Nepal),2019-03-19T14:45:00,2,0,2,Completed,Full,Germany,Nepal,2019-03-20T14:45:00, Rhein-Ruhr-Hub pippinderhobbit Fabian Nepalaid Mecky,Fabian / Nepalhilfe Straubenhardt 
Dootrip #000001020 - from Euskirchen (Germany) to Kampala (Uganda),2019-02-27T08:30:00,2,0,2,Completed,Full,Germany,Uganda,2019-03-01T08:30:00, Rhein-Ruhr-Hub,Mrs Hildegard H. via Patrick
Dootrip #000001021 - from Stade (Germany) to Bushiyi (Uganda),2019-04-06T08:00:00,16,0,16,Completed,Full,Germany,Uganda,2019-04-06T23:45:00, rotehanna,Vertreter des Freundeskreises Christliche Sozialarbeit in Uganda
Dootrip #000001022 - from Hamburg (Germany) to Bushiyi (Uganda),2019-05-25T08:00:00,0,0,0,Completed,Full,Germany,Uganda,2019-05-25T23:45:00, rotehanna,Vertreter des Freundeskreises Christliche Sozialarbeit in Uganda
Dootrip #000001023 - from Mönchengladbach (Germany) to Accra (Ghana),2019-03-30T17:00:00,4,0,4,Completed,Full,Germany,Ghana,2019-03-31T17:00:00, Rhein-Ruhr-Hub,Schülergruppe Hr. Kleine
Dootrip #000000984 - from New Caney (United States) to Guatemala City (Guatemala),2019-02-21T09:15:00,2,0,2,Completed,Full,United States,Guatemala,2019-02-24T09:00:00, Caminando,Ron Covey
Dootrip #000001024 - from Neu-Ulm (Germany) to Rwera (Uganda),2019-02-27T08:30:00,4,0,4,Completed,Full,Germany,Uganda,2019-02-28T08:30:00, Rhein-Ruhr-Hub,Burkhard L.
Dootrip #000001025 - from Oberhausen (Germany) to Adiembra (Ghana),2019-02-28T08:30:00,28,0,28,Completed,Full,Germany,Ghana,2019-06-30T08:30:00, Rhein-Ruhr-Hub,Container Ghana Cargo / Hr. Hossou
Dootrip #000001026 - from Barcelona (Spain) to PARIS (France),2019-02-12T17:00:00,2,0,2,Completed,Full,Spain,France,2019-02-12T17:00:00, Fabienne Hourquet,
Dootrip #000001027 - from Mülheim an der Ruhr (Germany) to Andernach (Germany),2019-02-13T15:15:00,2,0,3,Completed,Full,Germany,Germany,2019-02-14T15:15:00, Rhein-Ruhr-Hub,DHL-Versand
Dootrip #000001028 - from Kempten (Germany) to Freetown (Sierra Leone),2019-04-01T06:45:00,20,0,0,Completed,Not full,Germany,Sierra Leone,2019-04-02T16:45:00, AlphasFoundationEV,
Dootrip #000001029 - from München (Germany) to Freetown (Sierra Leone),2019-02-25T00:00:00,19,0,19,Completed,Full,Germany,Sierra Leone,2019-04-01T00:00:00, AlphasFoundationEV mc jprisab alitronics,
Dootrip #000001030 - from Oberhausen (Germany) to Mamponteng Kumasi (Ghana),2019-04-02T08:30:00,15,0,15,Completed,Full,Germany,Ghana,2019-04-03T08:30:00, Rhein-Ruhr-Hub,4 Personen via. Fr. Siebert
Dootrip #000001031 - from Duisburg (Germany) to Lusaka (Zambia),2019-02-21T14:30:00,3,0,3,Completed,Full,Germany,Zambia,2019-02-22T14:30:00, Rhein-Ruhr-Hub,NN
Dootrip #000001032 - from Rheinbach (Germany) to Mtwara (Tanzania),2019-03-29T07:30:00,6,0,6,Completed,Full,Germany,Tanzania,2019-03-31T07:30:00, Rhein-Ruhr-Hub,Sylvia und Frank Sch.
Dootrip #000001033 - from Mülheim an der Ruhr (Germany) to Fush Arrez (Albania),2019-04-07T15:15:00,6,0,6,Completed,Full,Germany,Albania,2019-04-30T15:15:00, Rhein-Ruhr-Hub,Hr. Helmich + Delegation
Dootrip #000001034 - from Mülheim an der Ruhr (Germany) to Rottenburg (Germany),2019-03-31T18:30:00,14,0,14,Completed,Full,Germany,Germany,2019-06-30T18:30:00, Rhein-Ruhr-Hub,Abhol. Hr. Packmohr im Hub Rhein-Ruhr
Dootrip #000001035 - from Frankfurt (Germany) to Algier (Algeria),2019-03-12T09:45:00,7,0,1,Cancelled,Not full,Germany,Algeria,2019-03-31T17:15:00, lutzmueller@hotmail.com,
Dootrip #000001036 - from Munich (Germany) to Ouagadougou (Burkina Faso),2019-04-22T20:00:00,10,0,1,Completed,Not full,Germany,Burkina Faso,2019-04-23T12:00:00, ALPHALITERACY ALPHALITERACY jprisab,Korbinian Burgstaller & Timo Haug
Dootrip #000001037 - from Roeland Park (United States) to Mpigi (Uganda),2019-03-09T14:00:00,3,0,0,Pending,Not full,United States,Uganda,2019-03-11T03:45:00, croesel,
Dootrip #000001038 - from Berlin (Germany) to Kumasi (Ghana),2019-10-01T09:15:00,40,0,40,Completed,Full,Germany,Ghana,2019-12-31T09:15:00, Rhein-Ruhr-Hub,Container DouYouAfrica e.V.
Dootrip #000001039 - from Oberhausen (Germany) to Kathmandu (Nepal),2019-04-12T13:45:00,1,0,1,Completed,Full,Germany,Nepal,2019-04-14T13:45:00, Rhein-Ruhr-Hub,Martin P.
Dootrip #000001040 - from Oberhausen (Germany) to Diabene (Ghana),2019-04-30T08:30:00,31,0,31,Completed,Full,Germany,Ghana,2019-07-31T08:30:00, Rhein-Ruhr-Hub,Container Ghana Cargo / Hr. Hossou
Dootrip #000001041 - from Berlin (Germany) to Kinshasa (Congo (Kinshasa)),2019-03-03T10:30:00,12,0,12,Completed,Full,Germany,Congo (Kinshasa),2019-03-24T10:30:00, Rhein-Ruhr-Hub,Dr. Kawata via Donaly
Dootrip #000001042 - from Wageningen (Netherlands) to Kampala (Uganda),2019-04-15T19:45:00,15,0,0,Completed,Not full,Netherlands,Uganda,2019-04-16T19:45:00, Rhein-Ruhr-Hub,Jama B.
Dootrip #000001043 - from Zaragoza (Spain) to Tindouf (Algeria),2019-04-12T11:15:00,15,0,0,Completed,Not full,Spain,Algeria,2019-04-21T11:15:00, mohamedfadel,
Dootrip #000001044 - from Oldenburg (Germany) to Soroti (Uganda),2019-03-14T08:30:00,3,0,3,Completed,Full,Germany,Uganda,2019-03-15T08:30:00, Rhein-Ruhr-Hub,Carina J.
Dootrip #000001045 - from Großostheim (Germany) to Rwera (Uganda),2019-03-12T08:30:00,1,0,1,Completed,Full,Germany,Uganda,2019-03-13T08:30:00, Rhein-Ruhr-Hub,Alexander H.
Dootrip #000001046 - from Essen (Germany) to Kinshasa (Congo (Kinshasa)),2019-05-10T18:45:00,24,0,24,Completed,Full,Germany,Congo (Kinshasa),2019-08-15T18:45:00, Rhein-Ruhr-Hub,Container (alle 4 Wochen)
Dootrip #000001047 - from Berlin (Germany) to Accra (Ghana),2019-04-02T05:45:00,11,0,11,Completed,Full,Germany,Ghana,2019-05-31T05:45:00, Rhein-Ruhr-Hub,"Katrin, Leapfrog (Cargo)"
Dootrip #000000915 - from Köln (Germany) to Nairobi (Kenya),2019-03-24T08:30:00,2,0,2,Completed,Full,Germany,Kenya,2019-03-25T08:30:00, Rhein-Ruhr-Hub,Flugpate via W. Mbindyo
Dootrip #000001049 - from Viechtach (Germany) to Mteza (Kenya),2019-06-07T08:30:00,3,0,3,Completed,Full,Germany,Kenya,2019-06-23T08:30:00, Rhein-Ruhr-Hub,Reisegruppe via Anneliese J.
Dootrip #000001050 - from Stuttgart (Germany) to Dschang (Cameroon),2019-06-01T09:30:00,5,0,5,Completed,Full,Germany,Cameroon,2019-06-30T09:30:00, Rhein-Ruhr-Hub,Ebile P.
Dootrip #000001051 - from Santa Ana (United States) to Taipei (Taiwan),2019-04-24T06:15:00,2,0,0,Pending,Not full,United States,Taiwan,2019-04-26T06:15:00, josephineylee,
Dootrip #000001052 - from Hamburg (Germany) to Yaoundé (Cameroon),2019-07-01T11:15:00,9,0,9,Completed,Full,Germany,Cameroon,2019-07-31T11:15:00, Rhein-Ruhr-Hub DanielNeumann,Reisegruppe NN via Zanga Zambo
Dootrip #000001053 - from Düsseldorf (Germany) to Yaoundé (Cameroon),2019-11-01T08:30:00,3,0,0,Cancelled,Not full,Germany,Cameroon,2019-11-30T08:30:00, Rhein-Ruhr-Hub,Reisegruppe NN via Zanga Zambo
Dootrip #000001054 - from Windeck (Germany) to Lusaka (Zambia),2021-11-01T08:30:00,6,0,6,Completed,Full,Germany,Zambia,2021-11-30T08:30:00, Rhein-Ruhr-Hub,Reisegruppe Hr. Juda
Dootrip #000001055 - from Bielefeld (Germany) to Prishtina Kosovo ([country not defined]),2019-06-20T08:30:00,5,0,5,Completed,Full,Germany,xx,2019-06-30T08:30:00, Rhein-Ruhr-Hub,Labinot Z.
Dootrip #000001056 - from Mülheim an der Ruhr (Germany) to Kinshasa (Congo (Kinshasa)),2019-03-28T12:15:00,12,0,12,Completed,Full,Germany,Congo (Kinshasa),2019-03-31T12:15:00, Rhein-Ruhr-Hub,Daniel via Hr. Malungu
Dootrip #000001057 - from Mülheim an der Ruhr (Germany) to Kinshasa (Congo (Kinshasa)),2019-04-06T08:30:00,20,0,20,Completed,Full,Germany,Congo (Kinshasa),2019-04-15T08:30:00, Rhein-Ruhr-Hub,Hr. Malungu
Dootrip #000001058 - from Mülheim an der Ruhr (Germany) to Makomeno (Congo (Kinshasa)),2019-04-06T08:30:00,10,0,10,Completed,Full,Germany,Congo (Kinshasa),2019-04-15T08:30:00, Rhein-Ruhr-Hub,Hr. Malungu
Dootrip #000001059 - from Mülheim an der Ruhr (Germany) to Lome (Togo),2019-04-28T08:30:00,15,0,15,Completed,Full,Germany,Togo,2019-05-12T08:30:00, Rhein-Ruhr-Hub,Hr. Malungu
Dootrip #000001060 - from Lüdinghausen (Germany) to Prishtina Kosovo ([country not defined]),2019-06-20T08:30:00,5,0,5,Completed,Full,Germany,xx,2019-06-30T08:30:00, Rhein-Ruhr-Hub,Agron Z.
Dootrip #000001061 - from Irvine (United States) to Saigon (HCM City) (Vietnam),2019-03-27T06:30:00,1,0,1,Completed,Full,United States,Vietnam,2019-03-29T06:30:00, qphanhuy@gmail.com,Traveler: Mai Luong
Dootrip #000001062 - from Berlin (Germany) to Moshi (Tanzania),2019-04-07T07:00:00,1,0,3,Completed,Full,Germany,Tanzania,2019-04-08T07:00:00, Rhein-Ruhr-Hub,Eva H. via World Unite
Dootrip #000001063 - from Mülheim an der Ruhr (Germany) to Viersen (Germany),2019-03-20T15:15:00,1,0,1,Completed,Full,Germany,Germany,2019-03-23T15:15:00, Rhein-Ruhr-Hub,Integrationshilfe via Fr. Grote
Dootrip #000001064 - from Bremen (Germany) to Cape Town (South Africa),2019-03-30T19:00:00,2,0,2,Completed,Full,Germany,South Africa,2019-03-31T16:00:00, Bremen-Hub,Frank Wardenberg
Dootrip #000001065 - from Brandenburg an der Havel (Germany) to Medina Sotokoi (Gambia),2019-06-01T08:30:00,14,0,14,Completed,Full,Germany,Gambia,2019-09-30T08:30:00, Rhein-Ruhr-Hub,Container via Fr. Sick
Dootrip #000001066 - from Karlsruhe (Germany) to Medina Sotokoi (Gambia),2019-04-15T14:00:00,1,0,1,Completed,Full,Germany,Gambia,2019-04-16T08:30:00, Rhein-Ruhr-Hub,Anne S.
Dootrip #000001067 - from Frankfurt am Main (Germany) to Accra (Ghana),2019-03-30T07:30:00,4,0,4,Completed,Full,Germany,Ghana,2019-03-30T17:00:00, netzteil,Debora Schlenker
Dootrip #000001068 - from Nümbrecht (Germany) to Mtwara (Tanzania),2019-04-10T08:30:00,4,0,2,Completed,Not full,Germany,Tanzania,2019-04-11T08:30:00, Rhein-Ruhr-Hub,Marina Th.
Dootrip #000001069 - from Freudenberg (Germany) to Mtwara (Tanzania),2019-04-14T08:30:00,4,0,3,Completed,Not full,Germany,Tanzania,2019-04-15T08:30:00, Rhein-Ruhr-Hub,Friedemann Z.
Dootrip #000001070 - from Heidelberg (Germany) to Bukarest (Romania),2019-04-07T15:45:00,1,0,1,Completed,Full,Germany,Romania,2019-04-30T15:45:00, Rhein-Ruhr-Hub,"Udo G., HeidelCement"
Dootrip #000001071 - from Tübingen (Germany) to Kasese Municipality (Uganda),2019-05-01T08:30:00,6,0,6,Completed,Full,Germany,Uganda,2019-05-02T08:30:00, Rhein-Ruhr-Hub daniel,Lucia E. via Godfrey Baluku
Dootrip #000001072 - from Oberhausen (Germany) to Mombasa (Kenya),2019-04-13T13:15:00,1,0,1,Completed,Full,Germany,Kenya,2019-04-14T13:15:00, Rhein-Ruhr-Hub Humanitas activa,Maurice T. via Hr. Poretschkin
Dootrip #000001073 - from Gießen (Germany) to Nsukka (Nigeria),2019-04-08T18:15:00,4,0,4,Completed,Full,Germany,Nigeria,2019-04-09T18:15:00, Rhein-Ruhr-Hub,Ifeanyi O.
Dootrip #000001074 - from Barcelona (Spain) to Banjul (Gambia),2019-04-13T16:30:00,3,0,0,Cancelled,Not full,Spain,Gambia,2019-04-14T18:45:00, BonDiaMon,
Dootrip #000001075 - from Barcelona (Spain) to Conakry (Guinea),2019-04-15T08:15:00,5,0,5,Completed,Full,Spain,Guinea,2019-04-15T18:15:00, Sonia Ventosa,
Dootrip #000001076 - from New York (United States) to Nairobi (United States),2019-05-09T22:00:00,3,0,2,Completed,Not full,United States,United States,2019-05-14T06:00:00, davanhaley,
Dootrip #000001077 - from Brooklyn (United States) to nairobi (Kenya),2019-06-02T20:00:00,2,0,2,Completed,Full,United States,Kenya,2019-06-03T20:00:00, brittanygrey,
Dootrip #000001078 - from New York City (United States) to Eldridge (United States),2019-03-28T12:00:00,5,0,5,Completed,Full,United States,United States,2019-04-01T12:00:00,t810sable,UPS
Dootrip #000001079 - from Duisburg (Germany) to Kampala (Uganda),2019-04-12T18:15:00,5,0,5,Completed,Full,Germany,Uganda,2019-04-13T18:15:00, Rhein-Ruhr-Hub,Maja F.
Dootrip #000001080 - from Köln (Germany) to Sanyany (Gambia),2019-04-30T19:00:00,6,0,6,Completed,Full,Germany,Gambia,2019-07-31T19:00:00, Rhein-Ruhr-Hub,Container via Fr. Heim
Dootrip #000001081 - from Eldridge (United States) to Pointe (Haiti),2019-04-08T12:00:00,5,0,5,Completed,Full,United States,Haiti,2019-04-08T18:00:00,t810sable,Abby will be traveling
Dootrip #000001082 - from Jersey City (United States) to Amsterdam (Netherlands),2019-04-11T18:00:00,2,0,0,Pending,Not full,United States,Netherlands,2019-04-12T18:00:00, kachung,
Dootrip #000001083 - from Jersey City (United States) to Cusco (Peru),2019-06-02T18:15:00,2,0,3,Pending,Full,United States,Peru,2019-06-03T11:15:00, kachung,
Dootrip #000001084 - from Mülheim an der Ruhr (Germany) to Luanda (Angola),2019-04-10T17:45:00,12,0,13,Completed,Full,Germany,Angola,2019-04-11T17:45:00, Rhein-Ruhr-Hub,Donaly M.
Dootrip #000001085 - from Stuttgart (Germany) to Nairobi (Kenya),2019-05-01T08:30:00,16,0,16,Completed,Full,Germany,Kenya,2019-05-31T08:30:00, Rhein-Ruhr-Hub,Stephan B. via Wynnie
Dootrip #000001086 - from Oberhausen (Germany) to Kumawu Besoro (Ghana),2019-05-31T10:15:00,14,0,14,Completed,Full,Germany,Ghana,2019-07-31T10:15:00, Rhein-Ruhr-Hub,Container via Ghana Cargo / spare delivery for lost items
Dootrip #000001087 - from Leimen (Germany) to Kaspi (Georgia),2019-05-19T17:30:00,5,0,0,Cancelled,Not full,Germany,Georgia,2019-05-26T17:30:00, Rhein-Ruhr-Hub,Flugpate HeidelbergCement
Dootrip #000001088 - from Leimen (Germany) to Bukhtarma (Kazakhstan),2019-06-03T08:30:00,5,0,0,Cancelled,Not full,Germany,Kazakhstan,2019-06-09T08:30:00, Rhein-Ruhr-Hub,Flugpate HeidelbergCement
Dootrip #000001089 - from Hoyerswerda (Germany) to Kisumu City (Kenya),2019-05-01T17:45:00,4,0,4,Completed,Full,Germany,Kenya,2019-05-31T17:45:00, Rhein-Ruhr-Hub,Rick W. via Boston (USA)
Dootrip #000001090 - from Köln (Germany) to Freetown (Sierra Leone),2019-09-01T18:00:00,1,0,1,Completed,Full,Germany,Sierra Leone,2019-10-31T18:00:00, Rhein-Ruhr-Hub,Yasmin H. via Cap Anamur / Deutsche Not-Ärzte
Dootrip #000001094 - from Bottrop (Germany) to Kalesija (Bosnia and Herzegovina),2019-08-16T16:00:00,70,0,70,Completed,Full,Germany,Bosnia and Herzegovina,2019-08-18T16:00:00, Rhein-Ruhr-Hub,Leben und Lernen in Bosnien e.V.
Dootrip #000001095 - from Mülheim an der Ruhr (Germany) to Heidelberg (Germany),2020-01-29T16:15:00,30,0,31,Completed,Full,Germany,Germany,2024-12-31T16:15:00, Rhein-Ruhr-Hub,Zwischenlager Laptops bei HeidelbergCement
Dootrip #000001096 - from Oberhausen (Germany) to Sekyedumasi (Ghana),2019-06-30T17:45:00,32,0,32,Completed,Full,Germany,Ghana,2019-09-30T17:45:00, Rhein-Ruhr-Hub,Container via Ghana Cargo
Dootrip #000001093 - from Münster (Germany) to Kasese (Uganda),2019-04-20T09:00:00,2,0,2,Completed,Full,Germany,Uganda,2019-04-22T09:00:00, Rhein-Ruhr-Hub,Zaake J. via Godfrey Baluku
Dootrip #000001097 - from Barcelona (Spain) to Libreville (Gabon),2019-05-30T18:00:00,8,0,10,Completed,Full,Spain,Gabon,2019-06-01T18:00:00, Montse,
Dootrip #000001098 - from Bonn (Germany) to Ukunda (Kenya),2019-04-22T18:15:00,8,0,8,Completed,Full,Germany,Kenya,2019-05-13T18:15:00, Rhein-Ruhr-Hub,Ulrich M.-B.
Dootrip #000001099 - from Heidelberg (Germany) to Victoria Falls (Zimbabwe),2019-06-09T10:30:00,3,0,3,Completed,Full,Germany,Zimbabwe,2019-06-10T10:30:00, Rhein-Ruhr-Hub,"Mr. Ngulube, Misheck M. via Fr. Edler"
Dootrip #000001100 - from New Caney (United States) to Guatemala City (Guatemala),2019-04-24T10:15:00,2,0,2,Completed,Full,United States,Guatemala,2019-04-25T10:15:00, Caminando,Ron Covey
Dootrip #000001101 - from Irvine (United States) to Saigon (Vietnam),2019-04-01T05:45:00,1,0,1,Completed,Full,United States,Vietnam,2019-04-01T05:45:00, qphanhuy@gmail.com, Mai Luong
Dootrip #000001102 - from Irvine (United States) to Bronx (United States),2019-04-20T06:45:00,1,0,1,Completed,Full,United States,United States,2019-04-20T06:45:00, qphanhuy@gmail.com,
Dootrip #000001103 - from Irvine (United States) to Ho CHin Minh (Vietnam),2019-06-06T06:45:00,1,0,1,Completed,Full,United States,Vietnam,2019-06-07T06:45:00, qphanhuy@gmail.com,Traveler: Thien An
Dootrip #000001105 - from Freising (Germany) to Ihanda Karagwe (Tanzania),2019-08-01T08:30:00,21,0,20,Completed,Not full,Germany,Tanzania,2019-08-31T08:30:00, Rhein-Ruhr-Hub,Reisegruppe via Hr. Pointer
Dootrip #000001106 - from Barcelona (Spain) to Kithunti (Kenya),2019-08-04T09:00:00,1,0,0,Pending,Not full,Spain,Kenya,2019-08-31T21:00:00, BitLab,Arquitectos Técnicos Sin Fronteras
Dootrip #000001107 - from Mülheim an der Ruhr (Germany) to Dortmund (Germany),2019-05-03T09:30:00,5,0,6,Completed,Full,Germany,Germany,2019-05-03T09:30:00, Rhein-Ruhr-Hub,Fr. Friese
Dootrip #000001108 - from Mülheim an der Ruhr (Germany) to Kampala (Uganda),2019-05-01T09:45:00,2,0,2,Completed,Full,Germany,Uganda,2019-05-31T09:45:00, Rhein-Ruhr-Hub,Tanja S. / Mamerito S. Relay Flight via New York
Dootrip #000001109 - from Mülheim an der Ruhr (Germany) to Kampala (Uganda),2019-09-25T08:30:00,2,0,0,Cancelled,Not full,Germany,Uganda,2019-09-30T08:30:00, Rhein-Ruhr-Hub,Tanja S. / Mamerito S. Relay Flight via Kiev
Dootrip #000001110 - from Raubling (Germany) to Durban (South Africa),2019-04-30T14:00:00,1,0,1,Completed,Full,Germany,South Africa,2019-05-02T09:00:00, Bremen-Hub,Dani B.
Dootrip #000001104 - from BARCELONA (Spain) to Thionk Essyl (Senegal),2019-05-29T08:00:00,30,0,7,Completed,Not full,Spain,Senegal,2019-07-04T10:00:00, Foundawtion-CR,Fundación Foundawtion
Dootrip #000001111 - from Kempten (Germany) to Freetown (Sierra Leone),2019-12-28T08:00:00,10,0,10,Completed,Full,Germany,Sierra Leone,2019-12-28T18:00:00, AlphasFoundationEV mc,
Dootrip #000001113 - from madrid (Spain) to bolgatanga (Ghana),2019-06-12T15:30:00,4,0,4,Completed,Full,Spain,Ghana,2019-06-13T15:30:00, Cristina Ros carranza,
Dootrip #000000910 - from Brandenburg an der Havel (Germany) to Medina Sotokoi (Gambia),2019-06-01T08:30:00,10,0,10,Completed,Full,Germany,Gambia,2019-08-31T08:30:00, Rhein-Ruhr-Hub,Container via Fr. Sick
Dootrip #000001114 - from Mülheim an der Ruhr (Germany) to Luanda (Angola),2019-05-20T18:45:00,13,0,13,Completed,Full,Germany,Angola,2019-05-24T18:45:00, Rhein-Ruhr-Hub,Donaly M.
Dootrip #000001115 - from Troisdorf (Germany) to Nairobi (Kenya),2019-07-01T08:30:00,2,0,2,Completed,Full,Germany,Kenya,2019-07-31T08:30:00, Rhein-Ruhr-Hub,A. Faber
Dootrip #000001116 - from Bonn (Germany) to Limbe (Cameroon),2019-06-01T07:45:00,3,0,3,Completed,Full,Germany,Cameroon,2019-06-30T07:45:00, Rhein-Ruhr-Hub,MBENJA C.A.
Dootrip #000001117 - from Darmstadt (Germany) to Ahouansori Cotonou (Benin),2019-06-01T10:45:00,4,0,4,Completed,Full,Germany,Benin,2019-06-02T10:45:00, Rhein-Ruhr-Hub,HANS F.
Dootrip #000001118 - from Ixelles (Belgium) to Bukavu (Congo (Kinshasa)),2019-07-01T18:30:00,10,0,10,Completed,Full,Belgium,Congo (Kinshasa),2019-07-02T18:30:00, Rhein-Ruhr-Hub,MULONDA BWAMI F.
"Dootrip #000001120 - from HONG KONG (Hong Kong S.A.R., China) to Da Nang (Vietnam)",2019-05-17T16:00:00,1,0,1,Completed,Full,"Hong Kong S.A.R., China",Vietnam,2019-05-17T17:00:00, AdrienL,
