,Hub,Needed (N),Remaining (R = N-T-D),% Completed,Country,Semaphore,Needed,In transit (T),Delivered (D),Remaining (R = N-T-D).1,Longitude,Latitude
380,Norway | Trondheim | Labdoo Hub Trondheim: Innherredsveien 24,40,25,37,Norway,open,40,0,15,25,10.3952118,63.4304475
381,Switzerland | Sirnach | GESCHLOSSEN: Annahmestelle 8370 Sirnach (TG),0,0,0,Switzerland,closed,0,0,0,0,8.9934296,47.461402
382,Switzerland | Zürich-Flughafen | Annahmestelle 8058 Zürich-Flughafen (ZH),0,0,0,Switzerland,open,0,0,0,0,8.5618985,47.4500978
383,Germany | Mülheim an der Ruhr | Labdoo Annahmestelle 45468 Mülheim an der Ruhr: Stadtteilbüro Eppinghofen,0,0,0,Germany,open,0,1,8,0,6.8829192,51.4272925
384,South Africa | Nelspruit | Labdoo Hub Nelspruit - Penreach ,0,0,0,South Africa,open,0,0,0,0,30.9772719,-25.4729094
385,Spain | O Barco de Valdeorras | O Barco de Valdeorras,0,0,0,Spain,open,0,0,0,0,-6.9801028,42.4301028
386,United States | Miami  | Coral Reef Hub ,0,0,0,United States,open,0,0,0,0,-80.1935973,25.7741566
387,Germany | Gronau | Labdoo Annahmestelle 31028 Gronau: Leandra Irrgang,0,0,0,Germany,open,0,0,10,0,9.7751956,52.0841729
388,Spain | Manresa | Laboo Hub Manresa - CATALUNYA,30,30,0,Spain,open,15,0,0,15,1.8286765,41.7288939
389,Germany | Dortmund | Labdoo Annahmestelle 44227 Dortmund: Jerome-Bennet Dietrich,0,0,0,Germany,inactive,0,0,1,0,7.4652789,51.5142273
390,Germany | Rodgau | Labdoo Annahmestelle 63110 Rodgau: WISA - Wir sind angekommen e.V.,71,0,100,Germany,open,59,0,71,0,8.8853392,50.0176771
391,Spain | Olot | Labdoo Hub Olot - Ayonow,0,0,0,Spain,open,0,0,0,0,2.4890211,42.1822177
392,Germany | Halbergermoos | Labdoo Annahmestelle 85399 Hallbergmoos: Mast-Eurokrallen-München GmbH,0,0,0,Germany,open,0,0,5,0,0.0,0.0
393,Spain | Torrijos | Labdoo Hub Toledo - Torrijos,0,0,0,Spain,open,0,0,59,0,-4.2805629,39.9811627
394,Spain | Romo-Leioa | Labdoo Hub Bilbao - Romo-Leioa,30,17,43,Spain,open,15,8,5,2,-3.0047855,43.3296743
395,Switzerland | Basel | GESCHLOSSEN: Annahmestelle 4051 Basel (BS),0,0,0,Switzerland,closed,0,0,0,0,7.5878261,47.5581077
396,Germany | Bedburg-Hau Moyland | Labdoo Annahmestelle 47551 Bedburg-Hau Moyland: KKA Entsorgungszentrum,0,0,0,Germany,open,0,0,0,0,6.238806,51.7534331
397,Germany | Geldern - Pont | Labdoo Annahmestelle 47608 Geldern-Pont: KKA Entsorgungszentrum,0,0,0,Germany,open,0,0,92,0,6.2961511,51.4916087
398,Germany | Uedem | Labdoo Annahmestelle 47589 Uedem: KKA Verwaltung,0,0,0,Germany,open,0,12,34,0,6.2735726,51.6686375
399,Germany | Berlin | Labdoo Annahmestelle 13156 Berlin: Fauna-Reisen GmbH,0,0,0,Germany,open,0,0,15,0,13.3951309,52.5173885
400,Spain | Lleida | Labdoo Hub Lleida,0,0,0,Spain,open,0,0,0,0,0.6267842,41.6147605
401,Germany | Wemmetsweiler | Labdoo Annahmestelle 66589 Wemmetsweiler: Sabrina Hartmann ,0,0,0,Germany,open,0,0,6,0,7.0830577,49.3738524
402,Germany | Preußisch Oldendorf | Labdoo Annahmestelle 32361 Preußisch Oldendorf: Sebastian Mallach,0,0,0,Germany,open,0,0,0,0,8.4971557,52.3048433
403,Spain | Barcelona | Labdoo Hub Centre d'Estudis Politècnics,0,0,0,Spain,open,0,10,42,0,2.177073,41.3825802
404,Spain | Mataró | Labdoo School Hub Mataró - Escola Pia Santa Anna,5,0,100,Spain,inactive,5,1,4,0,2.4448926,41.5398348
405,Germany | Laufenburg | Labdoo Annahmestelle 79725 Laufenburg: Daniel Zipfel,0,0,0,Germany,open,0,0,5,0,8.0599414,47.5671976
406,Spain | Portugalete  | Labdoo Hub Portugalete -   Hegoalde Visión Sur,0,0,0,Spain,open,0,0,0,0,-3.0198633,43.3189646
407,Germany | Münster | Labdoo Annahmestelle 48147 Münster: Benjamin Seebröker,195,58,70,Germany,open,127,2,135,0,7.6251879,51.9625101
408,Spain | Málaga | Labdoo Hub Estepona -Malaga-,0,0,0,Spain,open,0,0,0,0,-4.4216366,36.7213028
409,Germany | Mannheim | Labdoo Annahmestelle 68307 Mannheim: IT-Consulting Engin Imal,0,0,0,Germany,open,0,6,148,0,8.4673098,49.4892913
410,Germany | München | Labdoo Annahmestelle 80636 München: Meaalofa Foundation,85,0,100,Germany,open,42,6,108,0,11.5753822,48.1371079
411,Spain | Sant Joan de Vilatorrada | Labdoo City Hub Sant Joan de Vilatorrada - Biblioteca CAL GALLIFA,0,0,0,Spain,open,0,0,0,0,1.803625,41.7422073
412,Spain | Barcelona | Labdoo Hub - Biblioteques Públiques de Catalunya Adherides,0,0,0,Spain,open,0,0,0,0,2.177073,41.3825802
413,Spain | Torelló | Labdoo City Hub Torelló - Biblioteca Dos Rius,0,0,0,Spain,open,0,0,1,0,2.2643391,42.0478304
414,Spain | Barcelona | Labdoo School Hub - Institut Pedralbes,0,0,0,Spain,open,0,0,11,0,2.177073,41.3825802
415,Spain | Riells i Viabrea | Labdoo City Hub Riells i Viabrea - Biblioteca Pompeu Fabra  ,0,0,0,Spain,open,0,0,0,0,2.5129067,41.7764308
416,Spain | Barcelona | Labdoo Hub reaprofitar o esborrar,0,0,0,Spain,closed,0,0,0,0,2.177073,41.3825802
417,Spain | Castelldefels | Labdoo Hub Castelldefels - Fundación Luz Solidaria,0,0,0,Spain,open,0,0,0,0,1.9824173,41.2861022
418,Spain | Barcelona | Labdoo City Hub Barcelona - Biblioteca Sant Gervasi - Joan Maragall,0,0,0,Spain,open,0,0,2,0,2.177073,41.3825802
419,Spain | Santa Margarida de Montbui | Labdoo City Hub Santa Margarida de Montbui - Biblioteca Mont-Agora,0,0,0,Spain,open,0,2,2,0,1.6084538,41.5745942
420,Spain | Sant Andreu de la Barca | Labdoo City Hub Sant Andreu de la Barca - Biblioteca Aigüestoses,0,0,0,Spain,open,0,0,0,0,1.9719416,41.4499648
421,Spain | Sant Climent de Llobregat | Labdoo City Hub Sant Climent de Llobregat - Biblioteca Ca l'Altisent,0,0,0,Spain,open,0,0,0,0,1.9970575,41.3366993
422,Spain | Palafolls | Labdoo City Hub Palafolls - Biblioteca Enric Miralles,0,0,0,Spain,open,0,0,0,0,2.7499262,41.6673913
423,Spain | Cabrils | Labdoo City Hub Cabrils - Biblioteca Pública,0,0,0,Spain,open,0,0,0,0,2.3676258,41.5262354
424,Spain | Montcada i Reixac | Labdoo City Hub Montcada i Reixac- Biblioteca Elisenda de Montcada,0,0,0,Spain,open,0,0,0,0,2.1869985,41.4823115
425,Spain | Cervelló | Labdoo City Hub Cervello - Biblioteca Municipal,0,0,0,Spain,open,0,4,0,0,1.9585925,41.3964186
426,Germany | Kißlegg | Labdoo Annahmestelle 88353 Kißlegg: APEG Automarkt im Allgäu GmbH,53,0,100,Germany,open,53,13,86,0,9.8828757,47.7911287
427,Spain | Sevilla | Labdoo Hub Sevilla - A3Satel,0,0,0,Spain,open,0,0,0,0,-5.9953403,37.3886303
428,Spain | L'Ametlla del Vallès | Labdoo City Hub  L'Ametlla del Vallès - Biblioteca Josep Badia i Moret,0,0,0,Spain,open,0,0,0,0,2.2614527,41.669334
429,Ecuador | SANGOLQUI | HUB SANGOLQUÍ - ECUADOR,0,0,0,Ecuador,open,0,0,0,0,-78.4368107,-0.39888
430,Germany | Darmstadt | Labdoo Annahmestelle 64293 Darmstadt: AMC Media Network GmbH & Co. KG.,0,0,0,Germany,open,0,1,20,0,8.651177,49.872775
431,Spain | Guissona | Labdoo Hub Guissona refugiats ucraïnians,63,0,100,Spain,open,63,14,49,0,1.289032,41.785242
432,Spain | Barcelona | Labdoo City Hub Barcelona  - Biblioteca Nou Barris,0,0,0,Spain,closed,0,0,1,0,2.177073,41.3825802
433,Spain | Balaguer | Labdoo City Hub Balaguer - BIblioteca Margarida de Montferrat,0,0,0,Spain,open,0,0,0,0,0.8050711,41.7896408
434,Spain | Lliçà d'Amunt | Labdoo City Hub Lliçà d'Amunt - Biblioteca Ca l'Oliveres,0,0,0,Spain,open,0,0,0,0,2.2395108,41.6085173
435,Spain | Barcelona | Labdoo City Hub Barcelona - Biblioteca Montserrat Abelló,0,0,0,Spain,open,0,0,0,0,2.177073,41.3825802
436,Spain | Gavà | Labdoo City Hub Gavà Biblioteca Josep Soler i Vidal,0,0,0,Spain,open,0,0,0,0,2.0063126,41.3050933
437,Spain | Martorell | Labdoo City Hub Martorell  - Biblioteca de Martorell,0,0,0,Spain,open,0,0,0,0,1.9283971,41.4769177
438,Spain | Puig-reig | Labdoo City Hub Puig-Reig - Biblioteca Guillem de Berguedà,0,0,0,Spain,open,0,0,3,0,1.8775308,41.9735499
439,Spain | MANRESA | Manresa Hub Valldaura,0,0,0,Spain,open,0,0,0,0,1.8286765,41.7288939
440,Spain | El Vendrell | Labdoo City Hub El Vendrell Biblioteca Pública Terra baixa,0,0,0,Spain,open,0,0,0,0,1.5348566,41.2199677
441,Spain | Sant Hilari Sacalm | Labdoo City Hub Sant Hilari Sacalm - Biblioteca Soledat Ridaura i Feixas,0,0,0,Spain,open,0,0,0,0,2.5131751,41.8780822
442,Spain | Santa Bàrbara | Labdoo City Hub Santa Bàrbara - Biblioteca José Escudé de Santa Bàrbara,0,0,0,Spain,open,0,0,0,0,-119.702667,34.4221319
443,Spain | Ulldecona | Labdoo City Hub Ulldecona - Biblioteca Popular d'Ulldecona,0,0,0,Spain,open,0,0,0,0,0.4475376,40.5967567
444,Spain | Pineda de Mar | Labdoo City Hub Pineda Biblioteca M. Serra i Moret,0,0,0,Spain,open,0,0,0,0,2.6898707,41.6276807
445,Spain | Rubí | Labdoo City Hub Rubí - Biblioteca Mestre Martí Tauler,0,0,0,Spain,open,0,0,0,0,2.0319476,41.4936194
446,Spain | Santpedor | Labdoo City Hub Santpedor - Biblioteca Santpedor,0,0,0,Spain,open,0,0,0,0,1.8386882,41.7847594
447,Spain | Navàs | Labdoo City Hub Navàs - Biblioteca Navàs,0,0,0,Spain,open,0,0,0,0,1.8767736,41.8989233
448,Spain | Constantí | Labdoo City Hub Constantí - Biblioteca Municipal de Constantí,0,0,0,Spain,open,0,0,0,0,1.2151822,41.1528113
449,Spain | Terrassa | Labdoo City Hub Terrassa - Biblioteca Districte 2,0,0,0,Spain,open,0,0,0,0,2.0100492,41.5629623
450,Spain | Badia del Vallès | Labdoo City Hub Badia del Vallès - Biblioteca Vicente Aleixandre,0,0,0,Spain,open,0,0,0,0,2.1153773,41.5075702
451,Spain | Sant Feliu de Guíxols | Labdoo City Hub Guíxols - Biblioteca Pública Octavi Viader i Margarit,0,0,0,Spain,open,0,0,2,0,3.0283195,41.7838827
452,Spain | Tona | Labdoo City Hub Tona - Biblioteca Caterina Figueras,0,0,0,Spain,open,0,0,0,0,2.2280115,41.8538039
453,Spain | Gavà | Labdoo City Hub Gavà - Biblioteca Marian Colomé,0,0,0,Spain,open,0,0,0,0,2.0063126,41.3050933
454,Spain | Vila-rodona | Labdoo City Hub Vila-rodona - Biblioteca Municipal de Vila-rodona,0,0,0,Spain,open,0,0,0,0,1.3581489,41.3108464
455,Spain | Llorenç del Penedès | Labdoo City Hub Llorenç del Penedès - Biblioteca Municipal de Llorenç del Penedès,0,0,0,Spain,open,0,2,6,0,1.5533507,41.2831394
456,Spain | Terrassa | Labdoo City Hub Terrassa - Biblioteca Districte 5,0,0,0,Spain,open,0,0,1,0,2.0100492,41.5629623
457,"Germany | Mönchengladbach | Labdoo Annahmestelle 41068 Mönchengladbach: mags Mönchengladbacher Abfall-, Grün- und Straßenbetriebe AöR",0,0,0,Germany,open,0,0,43,0,6.4353792,51.1947131
458,Spain | Hostalric | Labdoo City Hub Hostalric - Biblioteca Modest Salse i Camarasa,0,0,0,Spain,open,0,1,0,0,2.6330963,41.7451889
459,Spain | Begues | Labdoo City Hub Begues - Biblioteca La Ginesta,0,0,0,Spain,open,0,0,0,0,1.925468,41.3328119
460,Spain | Deltebre | Labdoo City Hub Delta de l'Ebre - Biblioteca Delta de l'Ebre,0,0,0,Spain,open,0,0,0,0,0.7243445,40.7203938
461,Spain | Tremp | Labdoo City Hub Tremp - Biblioteca Maria Barbal,0,0,0,Spain,open,0,0,0,0,0.8950137,42.1669782
462,Spain | Torrevieja | Rotary Torrevieja,0,0,0,Spain,open,0,0,0,0,-0.6828446,37.9775416
463,Spain | Folgueroles | Labdoo HUB Folgueroles,0,0,0,Spain,open,0,0,0,0,2.3180742,41.9392868
464,Germany | Berlin | Labdoo Annahmestelle 13088 Berlin - Weißensee: Daniela Pilih,0,0,0,Germany,open,0,0,0,0,13.3951309,52.5173885
465,Germany | Markneukirchen | Labdoo Annahmestelle 08258 Markneukirchen: Angela Glaßl,0,0,0,Germany,open,0,0,1,0,12.3292151,50.311883
466,Spain | Terrassa | Labdoo City Hub Terrassa - Sant Pere,0,0,0,Spain,open,0,0,2,0,2.0100492,41.5629623
467,Spain | Barberà del Vallès | Labdoo City Hub Barberà del Vallès - Biblioteca Esteve Paluzie,0,0,0,Spain,open,0,0,0,0,2.1265942,41.5172534
468,Germany | Bad Schwartau | Labdoo Annahmestelle 23611 Bad Schwartau: Bernd Ziemens,74,29,60,Germany,open,49,0,45,4,10.6978692,53.9196435
469,Spain | Tortosa | Labdoo City Hub Tortosa - Biblioteca Marcel·lí Domingo,0,0,0,Spain,open,0,0,0,0,0.5209333,40.8110158
470,Spain | Sant Joan Despí  | Labdoo City Hub Sant Joan Despí - Biblioteca Mercè Rodoreda,0,0,0,Spain,open,0,0,0,0,2.0570346,41.3667951
471,Spain | Sabadell | Labdoo City Hub Sabadell - Biblioteca dels Safareigs,0,0,0,Spain,open,0,1,4,0,2.1083214,41.5460801
472,Germany | Mönchengladbach | Labdoo Annahmestelle 41068 Mönchengladbach: mags Wertstoffhof Heidgesberg,0,0,0,Germany,open,0,0,0,0,6.4353792,51.1947131
473,Germany | Mönchengladbach | Labdoo Annahmestelle 41068 Mönchengladbach: mags Wertstoffhof Luisental,0,0,0,Germany,open,0,0,0,0,6.4353792,51.1947131
474,Spain | Terrassa | Labdoo City Hub Terrassa - Biblioteca Districte 4,0,0,0,Spain,open,0,0,0,0,2.0100492,41.5629623
475,Spain | Moià | Labdoo City Hub Moia - Biblioteca de Moià,0,0,0,Spain,closed,0,0,0,0,2.0978412,41.8130391
476,Spain | Manresa | Labdoo Hub Vic - Remei,0,0,0,Spain,open,0,0,0,0,1.8286765,41.7288939
477,Ireland | Limerick | NNIT IE Hub,0,0,0,Ireland,open,0,0,3,0,-8.6301239,52.661252
478,Spain | Badalona | Labdoo School Hub Institut La Pineda Badalona,12,0,100,Spain,open,6,42,7,0,2.248254,41.4493539
479,Spain | Esparreguera | Labdoo City Hub Esparreguera - Biblioteca Municipal L’Ateneu d’Esparreguera,0,0,0,Spain,open,0,0,0,0,1.8694549,41.5393249
480,Germany | Castrop-Rauxel | Labdoo Annahmestelle 44575 Castrop-Rauxel: Paracelsus Apotheke,0,0,0,Germany,open,0,0,5,0,7.3106175,51.5646195
481,Germany | Nürnberg | Labdoo Annahmestelle 90443 Nürnberg: AfB gGmbH Shop Nürnberg,0,0,0,Germany,open,0,0,101,0,11.077298,49.453872
482,Spain | Terrassa. | Labdoo City Hub Terrassa - Biblioteca Districte 3,0,0,0,Spain,open,0,0,1,0,2.0100492,41.5629623
483,Spain | Valencia | Labdoo Hub Red Bona Via,0,0,0,Spain,open,0,0,8,0,-0.3763353,39.4697065
484,Spain | SANT BOI DE LLOBREGAT | Labdoo Hub Rotary Club Gavà,0,0,0,Spain,open,0,0,0,0,2.0511278,41.3241016
485,Germany | Idstein | Labdoo Annahmestelle 65510 Idstein: FHI Flüchtlings- und Integrationshilfe Idstein e.V.,0,0,0,Germany,open,0,0,0,0,8.2902,50.2147
486,Germany | Magdeburg | Labdoo Annahmestelle 39104 Magdeburg: Mandala Kinderbetreuung gGmbH,0,0,0,Germany,open,0,1,12,0,11.6400789,52.1314783
487,Spain | Terrassa | Labdoo City Hub Terrassa - Biblioteca Central de Terrassa,0,0,0,Spain,open,0,5,26,0,2.0100492,41.5629623
488,Spain | Terrassa | Labdoo City Hub Terrassa - Biblioteca Districte 6,0,0,0,Spain,open,0,0,0,0,2.0100492,41.5629623
489,United States | Miami | Labdoo Hub Key Biscayne,0,0,0,United States,open,0,2,0,0,-80.1935973,25.7741566
490,Spain | Polinya | ONG ADAIC,0,0,0,Spain,open,0,0,0,0,2.1566544,41.5576041
491,Spain | Berga | AMALGAMA  7 - VALLDAURA,0,0,0,Spain,open,0,0,0,0,5.3259192,60.3943055
492,Spain | Barcelona | Labdoo Hub - Asociación de Amigos del Pueblo Marroquí ITRAN,35,12,65,Spain,open,17,0,23,0,2.177073,41.3825802
493,Spain | Terrassa | Labdoo Hub Terrassa - Institut Nicolau Copèrnic,0,0,0,Spain,open,0,1,16,0,2.0100492,41.5629623
494,Spain | Berga | Escola Vedruna Berga,0,0,0,Spain,open,0,0,0,0,5.3259192,60.3943055
495,Germany | Aachen | Labdoo Annahmestelle 52064 Aachen: Adrian Hamm,0,0,0,Germany,open,0,2,46,0,6.083862,50.776351
496,Germany | Dreieich | Labdoo Annahmestelle 63303 Dreieich: Luca Ricken,0,0,0,Germany,open,0,1,31,0,8.7123912,50.011974
497,Germany | Oberhausen | Labdoo Annahmestelle 46149 Oberhausen: Levius GbR Lieber & Ronden,0,0,0,Germany,open,0,0,3,0,6.8514435,51.4696137
498,Spain | San Pedro del Pinatar | Labdoo Hub Rotary Club Mar Menor San Javier,0,0,0,Spain,open,0,0,0,0,-0.7902428,37.833892
499,Germany | Konstanz | Labdoo Annahmestelle 78467 Konstanz: Constanze Riedinger,0,0,0,Germany,open,0,3,33,0,9.1750718,47.659216
500,Germany | Köln | Labdoo Annahmestelle 50825 Köln: Lukas Fiebig (Hub),0,0,0,Germany,open,0,1,33,0,6.959974,50.938361
501,Germany | Nürnberg | Labdoo Annahmestelle 90402 Nürnberg: Begegnungsstätte Marie15,0,0,0,Germany,open,0,3,7,0,11.077298,49.453872
502,Spain | Tremp | Labdoo School Hub Institut de Tremp,0,0,0,Spain,open,0,0,0,0,0.8950137,42.1669782
503,Spain | Vilanova del Camí | Labdoo City Hub Vilanova del Camí - Biblioteca de Vilanova del Camí,0,0,0,Spain,open,0,0,0,0,1.6361449,41.5714336
504,Spain | Barcelona | Labdoo School Hub Institut Tecnològic Barcelona ITB,0,0,0,Spain,open,0,2,12,0,2.177073,41.3825802
505,Switzerland | Männedorf | GESCHLOSSEN: Annahmestelle 8708 Männedorf (ZH),0,0,0,Switzerland,closed,0,0,0,0,8.6918153,47.253174
506,Switzerland | Schaffhausen | Annahmestelle 8200 Schaffhausen (SH),0,0,0,Switzerland,open,0,0,0,0,8.634513,47.6960491
507,Germany | Solingen | Labdoo Annahmestelle 42653 Solingen: Thomas Lunze,0,0,0,Germany,open,0,0,2,0,7.0845893,51.1721629
508,Germany | Altdorf | Labdoo Annahmestelle 90518 Altdorf,0,0,0,Germany,open,0,2,85,0,7.5271687,48.5229995
509,Germany | Wendlingen am Neckar | Labdoo Annahmestelle 73240 Wendlingen am Neckar: Familie Biebl,0,0,0,Germany,open,0,3,38,0,9.3838404,48.6727602
510,Germany | Friedberg | Labdoo Annahmestelle 61169 Friedberg: Umsonstladen Friedberg,0,0,0,Germany,open,0,0,0,0,8.747636,50.328272
511,Germany | Krefeld | Labdoo Annahmestelle 47829 Krefeld: Mirko Teichmeier,0,0,0,Germany,open,0,0,7,0,6.5623343,51.3331205
512,Switzerland | Winterthur | Annahmestelle 8406 Winterthur (ZH),0,0,0,Switzerland,open,0,0,0,0,8.7291498,47.4991723
513,Germany | Langenfeld | Labdoo Annahmestelle 40764 Langenfeld: D. Kremer,0,0,0,Germany,open,0,5,170,0,6.9459377,51.1008952
514,Germany | Oldenburg | Labdoo Annahmestelle 26135 Oldenburg: Jürgen Köthnig,0,0,0,Germany,open,0,6,17,0,8.2146017,53.1389753
515,Switzerland | Sax | Annahmestelle 9468 Sax (SG),0,0,0,Switzerland,open,0,0,0,0,-0.818913,38.5350323
516,Germany | Soest | Labdoo Annahmestelle 59494 Soest: Ihr Soester Computer-Assistent,0,0,0,Germany,open,0,0,55,0,8.1061259,51.5725501
517,Germany | Köln | Labdoo Annahmestelle 51143 Köln: Torsten Decker - Solibund e.V.,0,0,0,Germany,open,0,0,1,0,6.959974,50.938361
518,Germany | Beratzhausen | Labdoo Annahmestelle 93176 Beratzhausen: Bettina Laßleben - LETLIFERS for future e.V.,0,0,0,Germany,open,0,0,7,0,11.8072365,49.0958694
519,Germany | Würzburg | Labdoo Annahmestelle 97084 Würzburg: Thomas Barcatta - Mwanza e.V.,446,126,71,Germany,open,446,46,274,126,9.9434769,49.7780356
520,Germany | Moers | Labdoo Annahmestelle 47445 Moers: Jörg Jellissen,0,0,0,Germany,open,0,0,4,0,6.62843,51.451283
521,Germany | Wilnsdorf-Rödgen (b. Siegen) | Labdoo Annahmestelle 57234 Wilnsdorf (b. Siegen): Gerlinde Schönberg,0,0,0,Germany,open,0,2,14,0,0.0,0.0
522,Germany | Gomaringen | Labdoo Annahmestelle 72810 Gomaringen (Kreis Tübingen): Tim Schmid,0,0,0,Germany,open,0,14,77,0,9.0985587,48.4535917
523,Germany | Hamburg | Labdoo Annahmestelle 21035 Hamburg - Neuallermöhe,26,0,100,Germany,open,13,22,164,0,10.0013165,53.5501721
524,Germany | Lüdinghausen | Labdoo Annahmestelle 59348 Lüdinghausen: Heiko Günther-Ständker,1,0,100,Germany,open,1,1,31,0,7.444639,51.7717757
525,Germany | Kaiserslautern | Labdoo Annahmestelle 67663  Kaiserslautern: Hanny Hovenier,0,0,0,Germany,open,0,2,26,0,7.7689951,49.4432174
526,Germany | Karben | Labdoo Annahmestelle 61184 Karben: BBW  Berufsbildungswerk Südhessen gGmbH,0,0,0,Germany,open,0,2,117,0,8.7717673,50.2313417
527,Germany | Moers | Labdoo Annahmestelle 47443 Moers: Interkulturelles Nachbarschaftsnetzwerk 55plus (Hub),26,0,100,Germany,open,20,136,1632,0,6.62843,51.451283
528,"Germany | Mettmann | Labdoo Annahmestelle 40822 Mettmann: Kreis Mettmann, Regionales Bildungsbüro",0,0,0,Germany,open,0,5,23,0,6.9777778,51.2527778
529,Colombia | EL RETIRO | HUB LABORATORIO DEL ESPIRITU,10,6,40,Colombia,open,10,4,0,6,-75.502611,6.0572745
530,Germany | Hamburg Lemsahl Mellingstedt | Labdoo Annahmestelle 22397 Hamburg - Lemsahl Mellingstedt,59,0,100,Germany,open,29,30,156,0,10.0867,53.6811
531,Germany | Iserlohn | Labdoo Annahmestelle 58640 Iserlohn: Armin Cibulski  (Hub),0,0,0,Germany,open,0,1,142,0,7.6999713,51.3746778
532,Spain | Puigreig | Labdoo HUB Puigreig,0,0,0,Spain,open,0,0,0,0,1.7411795,41.6067621
533,Spain | ARTES | LABDOO HUB ARTES PER SIRIA,0,0,0,Spain,open,0,0,0,0,-0.6150029,43.4645781
534,Germany | Hamburg | Labdoo Annahmestelle 21075 Hamburg - Harburg,0,0,0,Germany,open,0,19,201,0,10.0013165,53.5501721
535,Germany | Oberhausen | Labdoo Annahmestelle 46149 Oberhausen: Sterkrader Gemeinschaftspraxis,0,0,0,Germany,open,0,0,13,0,6.8514435,51.4696137
536,Spain | Igualada | Institut Milà i Fontanals d'Igualada,25,0,100,Spain,open,25,19,17,0,1.617346,41.5790182
537,Germany | Münster | Labdoo Annahmestelle 48143 Münster: Stadtbücherei Münster,0,0,0,Germany,open,0,3,221,0,7.6251879,51.9625101
538,Germany | Merzalben | Labdoo Annahmestelle 66978 Merzalben: Stefan Diedenhöfer PC - Service,0,0,0,Germany,open,0,5,15,0,7.7307825,49.2445268
539,Germany | Wilhelmshaven | Labdoo Annahmestelle 26389 Wilhelmshaven,0,0,0,Germany,open,0,0,2,0,8.106301,53.5278793
540,Germany | Verden | Labdoo Annahmestelle 27283 Verden: Fa. Dittmers | Zonta-Club Verden,0,0,0,Germany,open,0,0,23,0,5.3867277,49.1589278
541,Germany | Verden | Labdoo Annahmestelle 27283 Verden: Regine Meyer-Bolte | Zonta-Club Verden,0,0,0,Germany,open,0,0,5,0,5.3867277,49.1589278
542,Germany | Dörverden | Labdoo Annahmestelle 27313 Dörverden: Renate v. Eickstedt-Bosse | Zonta-Club Verden,0,0,0,Germany,open,0,12,14,0,9.2299135,52.847207
543,Switzerland | Bern | Annahmestelle 3012 Bern (BE),0,0,0,Switzerland,open,0,0,0,0,7.4521749,46.9484742
544,Spain | Gironella | Hub Institut Gironella,0,0,0,Spain,open,0,0,0,0,1.8825316,42.0337588
545,Spain | BArcelona | HUB BCN COLOMBIA INNOVA,0,0,0,Spain,open,0,0,0,0,2.177073,41.3825802
546,Germany | Düsseldorf | Labdoo Annahmestelle 40215 Düsseldorf: Verbraucherzentrale NRW,0,0,0,Germany,open,0,0,8,0,6.7763137,51.2254018
547,Spain | Berga | LABDOO HUB Berguedà,0,0,0,Spain,open,0,0,9,0,5.3259192,60.3943055
548,Spain | BETERA | HUB Asoc. Esencia de África,0,0,0,Spain,open,0,0,0,0,-0.4622695,39.5917307
549,Germany | Bonn | Labdoo Annahmestelle 53127 Bonn: Heike Gollub,0,0,0,Germany,open,0,0,3,0,7.1024635,50.7352621
550,"Switzerland | Zürich | GESCHLOSSEN: Annahmestelle 8049 Zürich (ZH), Höngg",0,0,0,Switzerland,closed,0,0,0,0,8.5410422,47.3744489
551,Germany | Bremen | Labdoo Annahmestelle 28199 Bremen Airport: Airport Shop der Werkstatt Bremen,0,0,0,Germany,open,0,0,1,0,8.8071646,53.0758196
552,Germany | Ganderkesee | Labdoo Annahmestelle 27777 Ganderkesse: GANTER Reisen,0,0,0,Germany,open,0,0,0,0,8.5451469,53.0344984
553,Germany | Lübeck | Labdoo Annahmestelle 23566 Lübeck: Patrick Nötling,0,0,0,Germany,open,0,0,0,0,10.684738,53.866444
554,Germany | Mülheim an der Ruhr | Labdoo Annahmestelle 45473 Mülheim an der Ruhr: MEG Mülheimer Entsorgungsgesellschaft mbH,0,0,0,Germany,open,0,0,1,0,6.8829192,51.4272925
555,Germany | Langenfeld | Labdoo Annahmestelle 40764 Langenfeld: Reparatur Café FIX & FERTIG,0,0,0,Germany,open,0,9,38,0,6.9459377,51.1008952
556,Germany | Bruchmühlbach-Miesau | Labdoo Annahmestelle 66892 Bruchmühlbach-Miesau: AWO Repair-Café MACH-BAR im Sportheim des FV Bruchmühlbach,0,0,0,Germany,open,0,0,4,0,7.4391678,49.3825183
557,Germany | Brakel | Labdoo Annahmestelle 33034 Brakel: Gesamtschule Brakel,0,0,0,Germany,open,0,0,0,0,9.1841762,51.7168889
558,Germany | Minden | Labdoo Annahmestelle 32425 Minden: Niko Dick,0,0,0,Germany,open,0,0,0,0,8.9168852,52.2881045
559,United States | Coto De Caza | Labdoo Hub Coto De Caza,457,432,5,United States,open,432,2,23,407,-117.5856235,33.6013399
560,Spain | A Coruña | Labdoo City Hub A Coruña,0,0,0,Spain,open,0,0,0,0,-8.3959425,43.3709703
561,Spain | Barcelona | Labdoo City Hub Barcelona - Biblioteca La Sagrera-Marina Clotet,0,0,0,Spain,open,0,0,1,0,2.177073,41.3825802
562,Spain | Avilés | Labdoo School Hub Avilés - CEIP Enrique Alonso,0,0,0,Spain,open,0,0,0,0,-5.9222466,43.5554436
